symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,fax,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,UpdateTime,address2,lastDividendDate,impliedSharesOutstanding,toCurrency,err,quoteSourceName,averageDailyVolume3Month,regularMarketTime,regularMarketChange,currencySymbol,preMarketPrice,exchangeDataDelayedBy,postMarketChange,postMarketPrice,exchangeName,preMarketChange,regularMarketSource,marketState,preMarketSource,regularMarketChangePercent,postMarketTime,postMarketSource,postMarketChangePercent,preMarketTime,preMarketChangePercent
BB,N2K 0A7,Technology,3497.0,"BlackBerry Limited provides intelligent security software and services to enterprises and governments worldwide. The company leverages artificial intelligence and machine learning to deliver solutions in the areas of cybersecurity, safety, and data privacy; and endpoint security management, encryption, and embedded systems. It offers BlackBerry Spark software platform that includes a suite of security software products and services comprising BlackBerry UEM, BlackBerry Dynamics, and BlackBerry Workspaces solutions; and BlackBerry Spark SDK to promote the evolution of a platform ecosystem by enabling enterprise and independent software vendor developers to integrate the security features of BlackBerry Spark into their own mobile and web applications. The company also provides BlackBerry Internet of Things (IoT) solutions, including BlackBerry QNX, BlackBerry Certicom, BlackBerry Radar, BlackBerry Jarvis, BlackBerry AtHoc, BlackBerry Alert, SecuSUITE, and other IoT applications. As of February 28, 2021, it owned approximately 38,000 worldwide patents and applications. The company has a partnership with the University of Windsor to develop and deliver a cybersecurity curriculum for the university's graduate master's program in applied computing; and an agreement with Amazon Web Services, Inc. to develop and market BlackBerry's IVY, an intelligent vehicle data platform. The company was formerly known as Research In Motion Limited and changed its name to BlackBerry Limited in July 2013. BlackBerry Limited was incorporated in 1984 and is headquartered in Waterloo, Canada.",Waterloo,519 888 7465,ON,Canada,[],http://www.blackberry.com,1,2200 University Avenue East,,Software—Infrastructure,0.10221,-0.61556,0.71312,80000000.0,-0.155,-0.1266,88000000.0,4.5,underperform,643000000.0,51000000.0,8.5,10.29,,2.371,-0.022950001,7.0,8.36,57.074,-0.31463,11.0,703000000.0,831000000.0,861000000.0,1.241,USD,1.527,2.219,4.1,NYQ,BlackBerry Limited,BlackBerry Limited,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_399960,,us_market,,6.918,,67.686,1.1260331,,0.1,,566412032.0,,,,2.571,37062927.0,0.0654,,1614470400.0,0.41025,-530000000.0,-0.944,,0.3202082,4.0023336,0.01507,1677542400.0,,1622419200.0,1.76,1623715200.0,511566494.0,1.000653,5956381184.0,2,,1187654400.0,3:1,,,,6.806841,1626307200.0,3.91,,102.9,,0.074200004,37728365.0,,,10.43,10.33,11.037482,,0.0,,10.46,,6652100.0,10.43,11.181765,,10.33,6652100.0,,,,,,,10.2,USD,,4377991.0,,,,5860689920.0,,,42017403.0,10.2,10.29,1300.0,4377991.0,28.77,,,4.37,10.29,False,,3000.0,10.46,10.29,https://logo.clearbit.com/blackberry.com,2021-08-08,,,,,,,,,,,,,,,,,,,,,,,,,
CIGI,M5S 2B4,Real Estate,15000.0,"Colliers International Group Inc. provides commercial real estate services to corporate and institutional clients in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It offers sales brokerage services, which include purchases and sales, debt placement, equity capital raising, market value opinions, acquisition advisory, and transaction management services; and lease brokerage services comprising landlord and tenant representation services. The company provides outsourcing and advisory services that consist of corporate and workplace solutions; property management services comprising building operations and maintenance, facilities management, lease administration, property accounting and financial reporting, contract management and, construction management; project management services, including bid document review, construction monitoring and delivery management, contract administration and integrated cost control, development management, facility and engineering functionality, milestone and performance monitoring, quality assurance, risk management and strategic project consulting; engineering design services for property and building, infrastructure, transportation, environmental and telecommunications end-markets; valuation and advisory services; workplace strategy services; loan servicing; property marketing; and research services. It also offers investment management services comprising asset management advisory and administration, and transaction services. The company was founded in 1972 and is headquartered in Toronto, Canada.",Toronto,416 960 9500,ON,Canada,[],http://www.colliers.com,1,1140 Bay Street,416 960 5333,Real Estate Services,0.119569995,0.01671,0.37965,248376000.0,0.229,0.072230004,350494016.0,112.0,buy,1021541000.0,102678752.0,135.0,130.08,0.0,0.925,0.04468,6.0,131.33,119.784,0.11974,140.0,118470000.0,1244251008.0,2931142912.0,2.697,USD,73.129,0.588,1.9,NMS,Colliers International Group In,Colliers International Group Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_369303,bdf9fa74-a784-3fb0-a409-d7ef2695dbc0,us_market,,2.298,,19.215,,,5.26,,42605800.0,,,,14.734,560993.0,0.0128,,1609372800.0,0.77537,48975000.0,1.217,,,8.82856,0.12339,1672444800.0,,1617148800.0,7.01,1619740800.0,33351472.0,1.603164,6734896640.0,2,,1433203200.0,1709:1000,,,-0.022,1.949414,1622160000.0,1.07,,24.730038,,,293649.0,,,130.07,130.85,107.67522,0.00076881674,0.081999995,,131.27,,83914.0,130.07,116.55235,0.1,130.85,83914.0,,,0.1,1624924800.0,,,128.31,USD,106.88579,39808.0,,,,5714011136.0,,,60784.0,128.31,132.58,800.0,39808.0,142.04,,0.16,58.14,131.78,False,0.00090000004,1000.0,131.27,130.08,https://logo.clearbit.com/colliers.com,2021-08-07,Suite 4000,,,,,,,,,,,,,,,,,,,,,,,,
PAAS,V6C 2T6,Basic Materials,6850.0,"Pan American Silver Corp., together with its subsidiaries, engages in the exploration, development, extraction, processing, refining, and reclamation of silver, gold, zinc, lead, and copper mines in Canada, Mexico, Peru, Argentina, and Bolivia. It holds interests in the La Colorada, Dolores, Huaron, Morococha, Shahuindo, La Arena, Timmins West, Bell Creek, Manantial Espejo, San Vicente, Pas Corp, and Navidad mines. The company was formerly known as Pan American Minerals Corp. and changed its name to Pan American Silver Corp. in April 1995. Pan American Silver Corp. was incorporated in 1979 and is headquartered in Vancouver, Canada.",Vancouver,604 684 1175,BC,Canada,[],http://www.panamericansilver.com,1,625 Howe Street,604 684 0147,Silver,0.41551998,0.18309,0.46359003,378113984.0,0.027,0.22264,560328000.0,36.0,buy,587641000.0,248252880.0,43.5,26.74,,2.579,0.055770002,8.0,42.77,1.998,0.09912,48.0,206410000.0,51628000.0,1348482944.0,0.982,USD,6.415,1.064,2.0,NMS,Pan American Silver Corp.,Pan American Silver Corp.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_387933,8be2cedf-9c68-3f6f-93ca-83cdd5f84737,us_market,,4.32,,10.396,,,2.72,,210262000.0,,,,12.378,3188292.0,0.0152,,1609372800.0,0.54456,246891008.0,0.847,,,2.1602843,0.00112,1672444800.0,,1617148800.0,1.27,1620950400.0,209637421.0,1.147271,5824956416.0,2,,,,,,,4.179107,1623715200.0,1.51,,9.830882,,,3392846.0,,,27.31,26.79,31.305857,0.008055657,0.2034,,26.97,,1474175.0,27.31,27.864857,0.22,26.79,1474175.0,,,0.28,1621814400.0,,,26.28,USD,31.570248,2025236.0,,,,5635454976.0,,,2364417.0,26.28,27.63,800.0,2025236.0,39.62,,0.69,25.86,27.62,False,0.0099,800.0,26.97,26.74,https://logo.clearbit.com/panamericansilver.com,2021-08-07,Suite 1440,,,,,,,,,,,,,,,,,,,,,,,,
BLDP,V5J 5J8,Industrials,785.0,"Ballard Power Systems Inc. engages in the design, development, manufacture, sale, and service of proton exchange membrane fuel cell products primarily in Canada. The company offers heavy duty modules, marine systems, fuel cell stacks, backup power systems, and material handling products. It also provides technology solutions, including engineering and technology transfer, as well as the licenses and sells intellectual property portfolio and fundamental knowledge for various proton exchange membrane fuel cell applications. The company serves transit bus, rail, critical infrastructure, marine, material handling, stationary power, truck, and automotive markets. It markets its products in China, Germany, the United States, the United Kingdom, Belgium, Japan, Denmark, France, Taiwan, Norway, Spain, the Netherlands, Finland, Switzerland, and internationally. Ballard Power Systems Inc. has a strategic alliance with Linamar Corporation for the co-development and sale of fuel cell powertrains and components for class 1 and 2 vehicles in North America and Europe. The company was founded in 1979 and is headquartered in Burnaby, Canada.",Burnaby,604 454 0900,BC,Canada,[],http://www.ballard.com,1,9000 Glenlyon Parkway,604 412 4700,Specialty Industrial Machinery,-0.4082,-0.56869,0.19026,-48559000.0,-0.262,-0.46196,-39846000.0,15.0,buy,20984000.0,-46372624.0,25.0,15.49,,26.028,-0.03042,17.0,24.98,1.253,-0.063829996,42.1,1270852992.0,17655000.0,97614000.0,4.272,USD,0.373,25.332,2.2,NGM,"Ballard Power Systems, Inc.",Ballard Power Systems Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_25395,7ada463e-9082-30eb-8eea-2ff81a477809,us_market,,42.382,,-103.828,,,-0.15,,297561984.0,,,,4.735,24004172.0,0.080699995,,1609372800.0,0.37081,-54167000.0,-0.212,,,3.2713833,0.19021,1672444800.0,,1617148800.0,5.36,1620950400.0,240726104.0,1.699406,4137124864.0,2,,896832000.0,3:1,,,,47.218994,1623715200.0,-3731.67,,-103.26666,,,23465608.0,,,15.23,15.78,22.307358,,0.0,,16.46,,2413112.0,15.23,16.624,,15.78,2413112.0,,,,,,,15.41,USD,,3952044.0,,,,4609234944.0,,,3797392.0,15.41,15.3,800.0,3952044.0,42.28,,,12.68,15.29,False,,1200.0,16.46,15.49,https://logo.clearbit.com/ballard.com,2021-08-07,,,,,,,,,,,,,,,,,,,,,,,,,
AUY,M5J 2J3,Basic Materials,,"Yamana Gold Inc., together with its subsidiaries, operates as a precious metal producer. It has gold and silver production, development stage properties, exploration properties, and land positions throughout the Americas, including Canada, Brazil, Chile, and Argentina producer. The company was formerly known as Yamana Resources Inc. and changed its name to Yamana Gold Inc. in August 2003. Yamana Gold Inc. was founded in 2003 and is headquartered in Toronto, Canada.",Toronto,416 815 0220,ON,Canada,[],http://www.yamana.com,1,Royal Bank Plaza,416 815 0021,Gold,0.53476,0.09616,0.61882,710099968.0,0.442,0.47137,941500032.0,2.8,hold,946900000.0,336162496.0,3.9,4.52,,1.709,0.06583,12.0,3.92,19.774,0.0248,4.92,735600000.0,1020899968.0,1760600064.0,0.761,USD,1.837,1.269,2.6,NYQ,Yamana Gold Inc.,Yamana Gold Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_1051325,,us_market,,3.143,,5.878,-0.28703701,,0.19,,966433984.0,,,,4.531,17597908.0,0.0182,,1609372800.0,0.5223,169300000.0,0.169,0.02625,0.31372488,0.99757224,0.0036000002,1672444800.0,,1625011200.0,1.37,1623715200.0,961930418.0,1.42745,5534425088.0,4,,1061424000.0,1:27,,,,2.489101,1626307200.0,0.62,,23.789474,,,6657890.0,,,4.62,4.61,4.6541305,0.020779222,0.5662,,4.64,,13765914.0,4.62,4.2764707,0.096,4.61,13765914.0,,,0.12,1632873600.0,,,4.505,USD,26.745562,11676692.0,,,,4382311424.0,,,12345893.0,4.505,0.0,42300.0,11676692.0,6.72,,0.92,3.99,0.0,False,0.025999999,36900.0,4.64,4.52,https://logo.clearbit.com/yamana.com,2021-08-08,Suite 2200 North Tower 200 Bay Street,1624924800.0,,,,,,,,,,,,,,,,,,,,,,,
BTG,V6C 2X8,Basic Materials,,"B2Gold Corp. operates as a gold producer with three operating mines in Mali, the Philippines, and Namibia. It operates the Fekola Mine in Mali, the Masbate Mine in the Philippines, and the Otjikoto Mine in Namibia. The company also has an 81% interest in the Kiaka Project in Burkina Faso. In addition, it has a portfolio of other evaluation and exploration assets in Mali, Burkina Faso, Namibia, Uzbekistan, and Finland. B2Gold Corp. was incorporated in 2006 and is headquartered in Vancouver, Canada.",Vancouver,604 681 8371,BC,Canada,[],http://www.b2gold.com,1,Park Place,604 681 6209,Gold,0.65944,0.36553,0.68942,880286016.0,-0.047,0.48622,1167821056.0,3.5,strong_buy,1259778000.0,595867648.0,3.5,3.87,0.247,2.909,0.17311001,1.0,3.5,3.686,0.28327,3.5,512568000.0,100145000.0,1770931968.0,0.487,USD,1.691,1.891,1.5,ASE,B2Gold Corp,B2Gold Corp.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_35511785,6acf5841-c41a-36e7-b0d0-e91b2ad1f3d6,us_market,,2.404,,3.646,,,0.21,,1051950016.0,,,,2.494,11627134.0,0.0111,,1609372800.0,0.71273005,647331008.0,0.609,,,1.5517241,0.011030001,1672444800.0,,1617148800.0,1.77,1619740800.0,1037253005.0,0.940013,4257737984.0,4,,,,,,0.267,2.2988157,1622160000.0,3.22,,18.428572,,,14858715.0,,,3.92,3.89,4.6850715,0.035714284,0.22950001,,3.89,,6327262.0,3.92,4.1245713,0.14,3.89,6327262.0,,,0.16,1624233600.0,,,3.79,USD,6.354679,6710650.0,,,,4071046400.0,,,7297332.0,3.79,4.09,45900.0,6710650.0,7.34,,,3.79,4.08,False,0.0361,3100.0,3.89,3.87,https://logo.clearbit.com/b2gold.com,2021-08-08,Suite 3400 666 Burrard Street,,,,,,,,,,,,,,,,,,,,,,,,
ABCL,V5Y 0A1,Healthcare,206.0,"AbCellera Biologics Inc. develops antibody discovery platform. Its full-stack, AI-powered drug discovery platform searches and analyzes the database of natural immune systems to find antibodies that can be developed as drugs. As of December 31, 2020, the company had 103 discovery programs that are either completed, in progress, or under contract. It has a discovery partnership agreement with Eli Lilly and Company. AbCellera Biologics Inc. was founded in 2012 and is headquartered in Vancouver, Canada.",Vancouver,604 559 9005,BC,Canada,[],http://www.abcellera.com,1,2215 Yukon Street,,Biotechnology,0.75525004,0.55244,0.8034,132999000.0,42.535,0.7377,325695008.0,45.0,buy,176619000.0,65628728.0,52.0,14.97,,10.272,0.30977,5.0,51.2,2.027,0.49253,55.0,685795008.0,19406000.0,431239008.0,2.531,USD,2.286,10.21,1.6,NMS,AbCellera Biologics Inc.,AbCellera Biologics Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_280568380,,us_market,,7.86,,10.407,-0.74584043,,,,270926016.0,,,,3.533,8525255.0,0.0315,,1609372800.0,0.37305,204415008.0,0.783,,0.3202082,4.237192,0.32456002,1672444800.0,,1617148800.0,3.49,1623715200.0,151783519.0,,3389371648.0,2,,,,,,,9.404906,1626307200.0,-0.42,,,,0.0921,7118027.0,,,15.61,15.85,29.859352,,0.0,,15.8436,,1195342.0,15.61,18.000883,,15.85,1195342.0,,,,,,,14.775,USD,19.118774,1629099.0,,,,4055762432.0,,,1747753.0,14.775,14.94,800.0,1629099.0,71.91,,,14.51,14.95,False,,1400.0,15.8436,14.97,https://logo.clearbit.com/abcellera.com,2021-08-08,,,,,,,,,,,,,,,,,,,,,,,,,
SSRM,V7X 1G4,Basic Materials,,"SSR Mining Inc., together with its subsidiaries, engages in the acquisition, exploration, development, and operation of precious metal resource properties in Turkey and the Americas. The company explores for gold, silver, lead, and zinc deposits. Its projects include the ÃÃ¶pler Gold mine located in Erzincan, Turkey; the Marigold mine located in Humboldt and Lander Counties, Nevada, the United States; the Seabee Gold Operation located in Saskatchewan, Canada; and the Puna Operations in Jujuy, Argentina. The company was formerly known as Silver Standard Resources Inc. and changed its name to SSR Mining Inc. in August 2017. SSR Mining Inc. was incorporated in 1946 and is based in Vancouver, Canada.",Vancouver,604 689 3846,BC,Canada,[],http://www.ssrmining.com,1,1055 Dunsmuir Street,604 689 3847,Gold,0.45283002,0.15401,0.51672,429700000.0,1.228,0.30407,477784000.0,9.0,buy,408291000.0,-2656750.0,12.5,16.55,0.263,6.033,0.05825,4.0,11.75,12.396,0.06908,13.0,891971008.0,491499008.0,1055110016.0,4.041,USD,6.037,4.15,2.3,NMS,SSR Mining Inc.,SSR Mining Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_412632,fd1d9444-d15c-3ed0-ae02-8025c9bbeb41,us_market,,3.377,,7.458,,,0.46,,220214000.0,,,,15.777,13097970.0,0.059499998,,1609372800.0,0.61535,162498000.0,0.916,,,1.0489953,0.004,1672444800.0,,1617148800.0,6.54,1619740800.0,219904528.0,,3563077376.0,2,,,,,,1.21,3.456597,1622160000.0,-1.1,,35.97826,,0.0625,10261515.0,,,16.97,16.34,16.293642,,0.0543,,16.7,,1322625.0,16.97,15.963715,,16.34,1322625.0,,,0.2,1620950400.0,,,16.105,USD,18.067684,1790000.0,,,,3647090176.0,,,1589539.0,16.105,17.34,800.0,1790000.0,23.27,,,13.68,17.33,False,0.0126,900.0,16.7,16.55,https://logo.clearbit.com/ssrmining.com,2021-08-07,Suite 800 PO Box 49088 Bentall Postal Station,,,,,,,,,,,,,,,,,,,,,,,,
AG,V6C 3L2,Basic Materials,,"First Majestic Silver Corp. engages in the acquisition, exploration, development, and production of mineral properties with a focus on silver and gold production in Mexico. It holds 100% interests in the San Dimas Silver/Gold Mine comprises 119 concessions covering an area of 71,839 hectares located in Durango and Sinaloa states; the Santa Elena Silver/Gold Mine consists of 32 concessions covering an area of 102,172 hectares located in Sonora; and the La Encantada Silver Mine comprises 22 concessions covering an area of 4,076 hectares situated in Coahuila, as well as surface land ownership of 1,343 hectares. The company also holds 100% interests in the La Parrilla Silver Mine that covers an area of 69,478 hectares located in Durango; the Del Toro Silver Mine comprises 70 mining concessions covering an area of 2,159 hectares located in Zacatecas; the San Martin Silver Mine includes 33 mining concessions covering an area of 38,512 hectares located in Jalisco; and the La Guitarra Silver Mine that covers an area of 39,714 hectares located in MÃ©xico. In addition, it holds interest in the Springpole project, a gold and silver project covering an area of approximately 41,913 hectares in Ontario, Canada. The company was formerly known as First Majestic Resource Corp. and changed its name to First Majestic Silver Corp. in November 2006. First Majestic Silver Corp. was incorporated in 1979 and is headquartered in Vancouver, Canada.",Vancouver,604 688 3033,BC,Canada,[],http://www.firstmajestic.com,1,925 West Georgia Street,604 639 8873,Silver,0.3103,0.15166001,0.40737998,75096000.0,0.168,0.16166,117396000.0,8.46,buy,145038000.0,-44725876.0,8.66,13.08,,3.403,0.03359,3.0,9.54,20.128,0.07624,11.5,233364992.0,172930000.0,378332992.0,0.928,USD,1.742,2.945,2.3,NYQ,First Majestic Silver Corp.,First Majestic Silver Corp.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_3110160,6b712da7-b7cc-3808-91be-b06de6c32e6c,us_market,,8.954,,28.857,,,0.07,,251506000.0,,,,3.856,18885660.0,0.075100005,,1609372800.0,0.35970002,57378000.0,0.261,,,3.3921163,0.15888,1672444800.0,,1617148800.0,4.32,1623715200.0,211705302.0,0.932281,3387714304.0,2,,,,,,,8.695247,1626307200.0,1.96,,186.85715,,,17604165.0,,,13.3,12.83,16.0995,0.00030075188,0.0,,13.193,,3059325.0,13.3,14.266,0.004,12.83,3059325.0,,,0.02,1620950400.0,,,12.71,USD,50.11494,3119718.0,,,,3289698560.0,,,4231945.0,12.71,13.25,900.0,3119718.0,24.01,,,9.33,13.24,False,0.0013,3200.0,13.193,13.08,https://logo.clearbit.com/firstmajestic.com,2021-08-08,Suite 1800,,,,,,,,,,,,,,,,,,,,,,,,
AGI,M5J 2T3,Basic Materials,1700.0,"Alamos Gold Inc., together with its subsidiaries, engages in the acquisition, exploration, development, and extraction of gold in North America, Canada, and Mexico. It also explores for silver and precious metals. The company's flagship project is the Young-Davidson mine, which includes contiguous mineral leases and claims totaling 5,587 ha located in Northern Ontario, Canada. The company was formerly known as AuRico Gold Inc. and changed its name to Alamos Gold Inc. in July 2015. The company is headquartered in Toronto, Canada.",Toronto,416 368 9932,ON,Canada,[],http://www.alamosgold.com,1,181 Bay Street,416 368 2934,Gold,0.53231,0.26007998,0.5839,411100000.0,0.285,0.33083,425100000.0,6.5,buy,426600000.0,55112500.0,8.78,7.69,,3.668,0.045939997,6.0,8.82,0.117,0.07486,10.63,264900000.0,3400000.0,798600000.0,0.674,USD,2.037,2.19,2.2,NYQ,Alamos Gold Inc.,Alamos Gold Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_883515,fc6fdf11-b83b-3999-b999-91fbaef45757,us_market,,3.504,,6.582,,,0.31,,392739008.0,,,,7.362,2550751.0,0.0064999997,,1609372800.0,0.6905,207700000.0,0.529,,,1.0445532,0.00298,1672444800.0,,1617148800.0,1.1,1619740800.0,391007351.0,1.112063,2797939456.0,2,,,,,,,3.7892268,1622160000.0,-0.89,,24.806452,,,2720182.0,,,7.89,7.65,8.1765,0.009505704,0.1415,,7.765,,3263062.0,7.89,7.866286,0.075,7.65,3263062.0,,,0.1,1623715200.0,,,7.535,USD,14.536862,2278394.0,,,,3026076416.0,,,2455073.0,7.535,8.44,1200.0,2278394.0,10.99,,0.47,7.02,8.43,False,0.0128,1100.0,7.765,7.69,https://logo.clearbit.com/alamosgold.com,2021-08-08,Suite 3910,,,,,,,,,,,,,,,,,,,,,,,,
CRON,M5V 2H1,Healthcare,,"Cronos Group Inc. operates as a cannabinoid company. It manufactures, markets, and distributes hemp-derived supplements and cosmetic products through e-commerce, retail, and hospitality partner channels under the Lord Jones and Happy Dance brands in the United States. The company is also involved in the cultivation, manufacture, and marketing of cannabis and cannabis-derived products for the medical and adult-use markets. It sells cannabis and cannabis products, including dried cannabis, pre-rolls, and cannabis extracts through wholesale and direct-to-client channels under its wellness platform, PEACE NATURALS; and operates under two adult-use brands, COVE and Spinach. The company also exports dried cannabis and cannabis oils to Germany, Israel, and Australia. Cronos Group Inc. was founded in 2012 and is based in Toronto, Canada.",Toronto,416 504 0004,ON,Canada,[],http://www.thecronosgroup.com,1,111 Peter Street,,Drug Manufacturers—Specialty & Generic,0.0,0.0,-0.43852,-149560992.0,0.496,-3.3016198,-160283008.0,,none,-25833000.0,-27672376.0,,7.31,,4.363,-0.05514,,,0.597,-0.18997999,,1239374976.0,9361000.0,50898000.0,3.335,USD,0.143,4.131,,NGM,Cronos Group Inc. Common Share,Cronos Group Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_253038643,c16afd87-8f99-3c59-851c-860ea909059d,us_market,,38.0,,-12.067,,,,,371656992.0,,,,4.226,20653928.0,0.0556,,1609372800.0,0.16785999,-309817984.0,-0.874,,,1.7297682,0.47234002,1672444800.0,,1617148800.0,7.38,1619740800.0,195944787.0,1.826631,1934130176.0,2,,,,,,,53.37759,1622160000.0,,,,,0.1066,21518860.0,,,7.41,7.4,9.074107,,0.0,,7.45,,1399537.0,7.41,7.8757143,,7.4,1399537.0,,,,,,,7.08,USD,,1519060.0,,,,2716812544.0,,,2382237.0,7.08,7.23,4000.0,1519060.0,15.83,,,4.915,7.22,False,,900.0,7.45,7.31,https://logo.clearbit.com/thecronosgroup.com,2021-08-07,Suite 300,,,,,,,,,,,,,,,,,,,,,,,,
MEOH,V6C 3M1,Basic Materials,1489.0,"Methanex Corporation produces and supplies methanol in North America, the Asia Pacific, Europe, and South America. The company also purchases methanol produced by others under methanol offtake contracts and on the spot market. In addition, it owns and leases storage and terminal facilities. The company owns and manages a fleet of approximately 30 ocean-going vessels. It serves chemical and petrochemical producers. The company was incorporated in 1968 and is headquartered in Vancouver, Canada.",Vancouver,604 661 2600,BC,Canada,[],http://www.methanex.com,1,1800 Waterfront Centre,604 661 2676,Chemicals,0.10252,-0.0256,0.17459999,485807008.0,0.363,0.02062,299404992.0,25.0,buy,386940000.0,70158872.0,44.0,33.88,4.675,2.11,0.0064999997,12.0,43.83,193.26,-0.0216,55.0,856238016.0,3054337024.0,2920401920.0,11.235,USD,38.326,1.578,2.5,NMS,Methanex Corporation,Methanex Corporation,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_331298,050146ab-fdd4-3a40-b8bf-0fc9f49aa9bc,us_market,,1.721,,16.786,,,1.86,,76209296.0,,,,16.705,1476931.0,0.0194,,1609372800.0,0.81725,-74761000.0,-1.075,,,2.0281353,0.0038100001,1672444800.0,,1617148800.0,5.68,1620950400.0,75513489.0,2.355306,5025715712.0,2,,,,,,3.598,0.8841149,1623715200.0,0.41,,18.215054,,,1427157.0,,,33.22,33.725,36.575073,0.004515352,,,33.88,,198087.0,33.22,33.204285,0.15,33.725,198087.0,,,0.15,1623715200.0,,,33.1506,USD,,172039.0,,,,2581970944.0,,,236917.0,33.1506,33.3,1100.0,172039.0,49.27,,2.97,19.55,33.26,False,0.0045,800.0,33.88,33.88,https://logo.clearbit.com/methanex.com,2021-08-07,200 Burrard Street,,,,,,,,,,,,,,,,,,,,,,,,
